,Unnamed: 0,Index,Original Method File,Original Method,Original Method Time,Original Method Result,Assertion,New Method File,New Method,New Method Time,New Method Result
0,0,30,./DafnyGym/ground_truth/libraries/src/JSON/ZeroCopy/Serializer.dfy,MembersImpl,0.908584,Correct,"assert wr == MembersSpec(obj, members[..0], writer);
",./DafnyGym/assertions_removed/MembersImpl_fix_30.dfy,MembersImpl,1.000806,Errors
1,1,31,./DafnyGym/ground_truth/libraries/src/JSON/ZeroCopy/Serializer.dfy,MembersImpl,0.908584,Correct,"assert members[..i+1][..i] == members[..i];
",./DafnyGym/assertions_removed/MembersImpl_fix_31.dfy,MembersImpl,2.33283,Errors
2,2,32,./DafnyGym/ground_truth/libraries/src/JSON/ZeroCopy/Serializer.dfy,MembersImpl,0.908584,Correct,"assert members[..|members|] == members;
",./DafnyGym/assertions_removed/MembersImpl_fix_32.dfy,MembersImpl,1.838043,Errors
3,3,39,./DafnyGym/ground_truth/libraries/src/Collections/Sets/Sets.dfy,LemmaIsSingleton,0.476277,Correct,"assert s == {x};
",./DafnyGym/assertions_removed/LemmaIsSingleton_fix_39.dfy,LemmaIsSingleton,0.503212,Errors
4,4,42,./DafnyGym/ground_truth/libraries/src/Collections/Sets/Sets.dfy,LemmaUnionSize,0.553964,Correct,"assert xr + yr == xs + ys - {y};
",./DafnyGym/assertions_removed/LemmaUnionSize_fix_42.dfy,LemmaUnionSize,0.595733,Errors
5,5,43,./DafnyGym/ground_truth/libraries/src/Collections/Sets/Sets.dfy,LemmaUnionSize,0.553964,Correct,"assert xs + yr == xs + ys - {y};
",./DafnyGym/assertions_removed/LemmaUnionSize_fix_43.dfy,LemmaUnionSize,0.587551,Errors
6,6,45,./DafnyGym/ground_truth/libraries/src/Collections/Sequences/LittleEndianNat.dfy,LemmaSeqNeq,0.576043,Correct,"assert xs[..i+1][..i] == xs[..i];
",./DafnyGym/assertions_removed/LemmaSeqNeq_fix_45.dfy,LemmaSeqNeq,0.628929,Errors
7,7,46,./DafnyGym/ground_truth/libraries/src/Collections/Sequences/LittleEndianNat.dfy,LemmaSeqNeq,0.576043,Correct,"assert ys[..i+1][..i] == ys[..i];
",./DafnyGym/assertions_removed/LemmaSeqNeq_fix_46.dfy,LemmaSeqNeq,0.666714,Errors
8,8,49,./DafnyGym/ground_truth/libraries/src/Collections/Sequences/LittleEndianNat.dfy,LemmaSeqPrefixNeq,0.665789,Correct,"assert xs[..i] == xs;
",./DafnyGym/assertions_removed/LemmaSeqPrefixNeq_fix_49.dfy,LemmaSeqPrefixNeq,0.69601,Errors
9,9,50,./DafnyGym/ground_truth/libraries/src/Collections/Sequences/LittleEndianNat.dfy,LemmaSeqPrefixNeq,0.665789,Correct,"assert ys[..i] == ys;
",./DafnyGym/assertions_removed/LemmaSeqPrefixNeq_fix_50.dfy,LemmaSeqPrefixNeq,0.624192,Errors
